time,ax,ay,az,wx,wy,wz
0.0,-0.08,-0.02,0.22,-0.07,0.0,0.01
0.2,-0.1,0.01,0.19,-0.08,-0.0,-0.02
0.4,-0.05,0.08,0.15,0.03,-0.03,0.05
0.6,-0.01,0.02,-0.07,0.05,-0.01,-0.01
0.8,-0.1,0.07,0.04,0.03,0.04,0.02
0.99,-0.12,-0.07,0.15,0.03,-0.04,0.01
1.19,0.1,-0.02,0.08,-0.04,0.05,-0.06
1.39,0.06,0.12,-0.02,-0.03,-0.03,0.03
1.59,0.05,-0.06,0.15,-0.02,0.05,-0.05
1.79,-0.01,-0.01,0.09,-0.06,0.02,-0.02
1.99,-0.03,-0.07,0.03,-0.02,0.01,-0.01
2.19,0.0,0.04,0.14,0.02,0.04,-0.03
2.39,-0.09,-0.03,0.04,-0.01,0.01,0.05
2.58,0.07,-0.05,0.07,0.03,-0.06,0.02
2.78,-0.06,0.06,0.0,0.04,0.01,-0.01
2.98,-0.02,-0.1,0.0,0.02,-0.03,0.02
3.18,-0.05,-0.03,0.0,0.03,0.0,0.01
3.38,-0.07,0.03,-0.06,0.03,-0.01,0.01
3.58,-0.02,-0.02,-0.07,0.0,0.0,-0.01
3.78,-0.03,-0.02,0.04,0.0,-0.0,-0.01
3.97,-0.04,-0.03,-0.03,-0.01,-0.01,0.01
4.17,0.02,0.01,-0.02,0.01,-0.01,-0.0
4.37,-0.03,-0.01,0.01,0.0,-0.0,-0.0
4.57,-0.02,-0.01,-0.02,-0.01,-0.01,-0.0
